size,avg_CI,std_CI,nb_exp,confidence_interval
3,0.4832853674888611,0.6417621970176697,1000000.0,0.001925286591053009
4,0.8100777268409729,0.5800847411155701,1000000.0,0.0017402542233467102
5,1.0157349109649658,0.47171151638031006,1000000.0,0.0014151345491409302
6,1.144376277923584,0.3793219327926636,1000000.0,0.0011379657983779908
7,1.2288458347320557,0.3113979697227478,1000000.0,0.0009341939091682434
8,1.28744375705719,0.26172763109207153,1000000.0,0.0007851828932762147
9,1.3313610553741455,0.2245248705148697,1000000.0,0.000673574611544609
10,1.3640003204345703,0.19671863317489624,1000000.0,0.0005901558995246888
11,1.3897205591201782,0.17493359744548798,1000000.0,0.000524800792336464
12,1.410813570022583,0.1571984440088272,1000000.0,0.0004715953320264816
13,1.4280732870101929,0.14280207455158234,1000000.0,0.000428406223654747
14,1.4426168203353882,0.13095897436141968,1000000.0,0.00039287692308425905
15,1.4550669193267822,0.12086070328950882,1000000.0,0.00036258210986852646
